Type,Date,Losses
Troops,2022-03-20,14700
Planes,2022-03-20,96
Helicopters,2022-03-20,118
Tanks,2022-03-20,476
Artillery Pieces,2022-03-20,230
Armored Personal Carriers,2022-03-20,1487
Mobile SRBM Systems,2022-03-20,0
MLRS,2022-03-20,74
Boats,2022-03-20,3
Vehicles,2022-03-20,947
Fuel Tanks,2022-03-20,60
UAV,2022-03-20,21
Anti-Aircraft,2022-03-20,44
Special Equipment,2022-03-20,12
Troops,2022-03-21,15000
Planes,2022-03-21,97
Helicopters,2022-03-21,121
Tanks,2022-03-21,498
Artillery Pieces,2022-03-21,240
Armored Personal Carriers,2022-03-21,1535
Mobile SRBM Systems,2022-03-21,0
MLRS,2022-03-21,80
Boats,2022-03-21,3
Vehicles,2022-03-21,969
Fuel Tanks,2022-03-21,60
UAV,2022-03-21,24
Anti-Aircraft,2022-03-21,45
Special Equipment,2022-03-21,13
Troops,2022-03-22,15300
Planes,2022-03-22,99
Helicopters,2022-03-22,123
Tanks,2022-03-22,509
Artillery Pieces,2022-03-22,252
Armored Personal Carriers,2022-03-22,1556
Mobile SRBM Systems,2022-03-22,0
MLRS,2022-03-22,80
Boats,2022-03-22,3
Vehicles,2022-03-22,1000
Fuel Tanks,2022-03-22,70
UAV,2022-03-22,35
Anti-Aircraft,2022-03-22,45
Special Equipment,2022-03-22,15
Troops,2022-03-23,15600
Planes,2022-03-23,101
Helicopters,2022-03-23,124
Tanks,2022-03-23,517
Artillery Pieces,2022-03-23,267
Armored Personal Carriers,2022-03-23,1578
Mobile SRBM Systems,2022-03-23,0
MLRS,2022-03-23,80
Boats,2022-03-23,4
Vehicles,2022-03-23,1008
Fuel Tanks,2022-03-23,70
UAV,2022-03-23,42
Anti-Aircraft,2022-03-23,47
Special Equipment,2022-03-23,15
Troops,2022-03-24,15800
Planes,2022-03-24,108
Helicopters,2022-03-24,124
Tanks,2022-03-24,530
Artillery Pieces,2022-03-24,280
Armored Personal Carriers,2022-03-24,1597
Mobile SRBM Systems,2022-03-24,0
MLRS,2022-03-24,82
Boats,2022-03-24,4
Vehicles,2022-03-24,1033
Fuel Tanks,2022-03-24,72
UAV,2022-03-24,50
Anti-Aircraft,2022-03-24,47
Special Equipment,2022-03-24,16
Troops,2022-03-25,16100
Planes,2022-03-25,115
Helicopters,2022-03-25,125
Tanks,2022-03-25,561
Artillery Pieces,2022-03-25,291
Armored Personal Carriers,2022-03-25,1625
Mobile SRBM Systems,2022-03-25,0
MLRS,2022-03-25,90
Boats,2022-03-25,5
Vehicles,2022-03-25,1089
Fuel Tanks,2022-03-25,72
UAV,2022-03-25,53
Anti-Aircraft,2022-03-25,49
Special Equipment,2022-03-25,18
Troops,2022-03-26,16400
Planes,2022-03-26,117
Helicopters,2022-03-26,127
Tanks,2022-03-26,575
Artillery Pieces,2022-03-26,293
Armored Personal Carriers,2022-03-26,1640
Mobile SRBM Systems,2022-03-26,2
MLRS,2022-03-26,91
Boats,2022-03-26,7
Vehicles,2022-03-26,1131
Fuel Tanks,2022-03-26,73
UAV,2022-03-26,56
Anti-Aircraft,2022-03-26,51
Special Equipment,2022-03-26,20
Troops,2022-03-27,16600
Planes,2022-03-27,121
Helicopters,2022-03-27,127
Tanks,2022-03-27,582
Artillery Pieces,2022-03-27,294
Armored Personal Carriers,2022-03-27,1664
Mobile SRBM Systems,2022-03-27,4
MLRS,2022-03-27,93
Boats,2022-03-27,7
Vehicles,2022-03-27,1144
Fuel Tanks,2022-03-27,73
UAV,2022-03-27,56
Anti-Aircraft,2022-03-27,52
Special Equipment,2022-03-27,21
Troops,2022-03-28,17000
Planes,2022-03-28,123
Helicopters,2022-03-28,127
Tanks,2022-03-28,586
Artillery Pieces,2022-03-28,302
Armored Personal Carriers,2022-03-28,1694
Mobile SRBM Systems,2022-03-28,4
MLRS,2022-03-28,95
Boats,2022-03-28,7
Vehicles,2022-03-28,1150
Fuel Tanks,2022-03-28,73
UAV,2022-03-28,66
Anti-Aircraft,2022-03-28,54
Special Equipment,2022-03-28,21
Troops,2022-03-29,17200
Planes,2022-03-29,127
Helicopters,2022-03-29,129
Tanks,2022-03-29,597
Artillery Pieces,2022-03-29,303
Armored Personal Carriers,2022-03-29,1710
Mobile SRBM Systems,2022-03-29,4
MLRS,2022-03-29,96
Boats,2022-03-29,7
Vehicles,2022-03-29,1178
Fuel Tanks,2022-03-29,73
UAV,2022-03-29,71
Anti-Aircraft,2022-03-29,54
Special Equipment,2022-03-29,21
Troops,2022-03-30,17300
Planes,2022-03-30,131
Helicopters,2022-03-30,131
Tanks,2022-03-30,605
Artillery Pieces,2022-03-30,305
Armored Personal Carriers,2022-03-30,1723
Mobile SRBM Systems,2022-03-30,4
MLRS,2022-03-30,96
Boats,2022-03-30,7
Vehicles,2022-03-30,1184
Fuel Tanks,2022-03-30,75
UAV,2022-03-30,81
Anti-Aircraft,2022-03-30,54
Special Equipment,2022-03-30,21
Troops,2022-03-31,17500
Planes,2022-03-31,135
Helicopters,2022-03-31,131
Tanks,2022-03-31,614
Artillery Pieces,2022-03-31,311
Armored Personal Carriers,2022-03-31,1735
Mobile SRBM Systems,2022-03-31,4
MLRS,2022-03-31,96
Boats,2022-03-31,7
Vehicles,2022-03-31,1201
Fuel Tanks,2022-03-31,75
UAV,2022-03-31,83
Anti-Aircraft,2022-03-31,54
Special Equipment,2022-03-31,22
Troops,2022-04-01,17700
Planes,2022-04-01,143
Helicopters,2022-04-01,131
Tanks,2022-04-01,625
Artillery Pieces,2022-04-01,316
Armored Personal Carriers,2022-04-01,1751
Mobile SRBM Systems,2022-04-01,4
MLRS,2022-04-01,96
Boats,2022-04-01,7
Vehicles,2022-04-01,1220
Fuel Tanks,2022-04-01,76
UAV,2022-04-01,85
Anti-Aircraft,2022-04-01,54
Special Equipment,2022-04-01,24
Troops,2022-04-02,17800
Planes,2022-04-02,143
Helicopters,2022-04-02,134
Tanks,2022-04-02,631
Artillery Pieces,2022-04-02,317
Armored Personal Carriers,2022-04-02,1776
Mobile SRBM Systems,2022-04-02,4
MLRS,2022-04-02,100
Boats,2022-04-02,7
Vehicles,2022-04-02,1236
Fuel Tanks,2022-04-02,76
UAV,2022-04-02,87
Anti-Aircraft,2022-04-02,54
Special Equipment,2022-04-02,24
Troops,2022-04-03,18000
Planes,2022-04-03,143
Helicopters,2022-04-03,134
Tanks,2022-04-03,644
Artillery Pieces,2022-04-03,325
Armored Personal Carriers,2022-04-03,1830
Mobile SRBM Systems,2022-04-03,4
MLRS,2022-04-03,105
Boats,2022-04-03,7
Vehicles,2022-04-03,1249
Fuel Tanks,2022-04-03,76
UAV,2022-04-03,89
Anti-Aircraft,2022-04-03,54
Special Equipment,2022-04-03,24
Troops,2022-04-04,18300
Planes,2022-04-04,147
Helicopters,2022-04-04,134
Tanks,2022-04-04,647
Artillery Pieces,2022-04-04,330
Armored Personal Carriers,2022-04-04,1844
Mobile SRBM Systems,2022-04-04,4
MLRS,2022-04-04,107
Boats,2022-04-04,7
Vehicles,2022-04-04,1273
Fuel Tanks,2022-04-04,76
UAV,2022-04-04,92
Anti-Aircraft,2022-04-04,54
Special Equipment,2022-04-04,25
Troops,2022-04-05,18500
Planes,2022-04-05,150
Helicopters,2022-04-05,134
Tanks,2022-04-05,676
Artillery Pieces,2022-04-05,332
Armored Personal Carriers,2022-04-05,1858
Mobile SRBM Systems,2022-04-05,4
MLRS,2022-04-05,107
Boats,2022-04-05,7
Vehicles,2022-04-05,1322
Fuel Tanks,2022-04-05,76
UAV,2022-04-05,94
Anti-Aircraft,2022-04-05,55
Special Equipment,2022-04-05,25
Troops,2022-04-06,18600
Planes,2022-04-06,150
Helicopters,2022-04-06,135
Tanks,2022-04-06,684
Artillery Pieces,2022-04-06,332
Armored Personal Carriers,2022-04-06,1861
Mobile SRBM Systems,2022-04-06,4
MLRS,2022-04-06,107
Boats,2022-04-06,7
Vehicles,2022-04-06,1324
Fuel Tanks,2022-04-06,76
UAV,2022-04-06,96
Anti-Aircraft,2022-04-06,55
Special Equipment,2022-04-06,25
Troops,2022-04-07,18900
Planes,2022-04-07,150
Helicopters,2022-04-07,135
Tanks,2022-04-07,698
Artillery Pieces,2022-04-07,332
Armored Personal Carriers,2022-04-07,1891
Mobile SRBM Systems,2022-04-07,4
MLRS,2022-04-07,108
Boats,2022-04-07,7
Vehicles,2022-04-07,1358
Fuel Tanks,2022-04-07,76
UAV,2022-04-07,111
Anti-Aircraft,2022-04-07,55
Special Equipment,2022-04-07,25
Troops,2022-04-08,19000
Planes,2022-04-08,150
Helicopters,2022-04-08,135
Tanks,2022-04-08,700
Artillery Pieces,2022-04-08,333
Armored Personal Carriers,2022-04-08,1891
Mobile SRBM Systems,2022-04-08,4
MLRS,2022-04-08,108
Boats,2022-04-08,7
Vehicles,2022-04-08,1361
Fuel Tanks,2022-04-08,76
UAV,2022-04-08,112
Anti-Aircraft,2022-04-08,55
Special Equipment,2022-04-08,25
Troops,2022-04-09,19100
Planes,2022-04-09,151
Helicopters,2022-04-09,136
Tanks,2022-04-09,705
Artillery Pieces,2022-04-09,335
Armored Personal Carriers,2022-04-09,1895
Mobile SRBM Systems,2022-04-09,4
MLRS,2022-04-09,108
Boats,2022-04-09,7
Vehicles,2022-04-09,1363
Fuel Tanks,2022-04-09,76
UAV,2022-04-09,112
Anti-Aircraft,2022-04-09,55
Special Equipment,2022-04-09,25
Troops,2022-04-10,19300
Planes,2022-04-10,152
Helicopters,2022-04-10,137
Tanks,2022-04-10,722
Artillery Pieces,2022-04-10,342
Armored Personal Carriers,2022-04-10,1911
Mobile SRBM Systems,2022-04-10,4
MLRS,2022-04-10,108
Boats,2022-04-10,7
Vehicles,2022-04-10,1384
Fuel Tanks,2022-04-10,76
UAV,2022-04-10,112
Anti-Aircraft,2022-04-10,55
Special Equipment,2022-04-10,25
Troops,2022-04-11,19500
Planes,2022-04-11,154
Helicopters,2022-04-11,137
Tanks,2022-04-11,725
Artillery Pieces,2022-04-11,347
Armored Personal Carriers,2022-04-11,1923
Mobile SRBM Systems,2022-04-11,4
MLRS,2022-04-11,111
Boats,2022-04-11,7
Vehicles,2022-04-11,1387
Fuel Tanks,2022-04-11,76
UAV,2022-04-11,119
Anti-Aircraft,2022-04-11,55
Special Equipment,2022-04-11,25
Troops,2022-04-12,19600
Planes,2022-04-12,157
Helicopters,2022-04-12,140
Tanks,2022-04-12,732
Artillery Pieces,2022-04-12,349
Armored Personal Carriers,2022-04-12,1946
Mobile SRBM Systems,2022-04-12,4
MLRS,2022-04-12,111
Boats,2022-04-12,7
Vehicles,2022-04-12,1406
Fuel Tanks,2022-04-12,76
UAV,2022-04-12,124
Anti-Aircraft,2022-04-12,63
Special Equipment,2022-04-12,25
Troops,2022-04-13,19800
Planes,2022-04-13,158
Helicopters,2022-04-13,143
Tanks,2022-04-13,739
Artillery Pieces,2022-04-13,358
Armored Personal Carriers,2022-04-13,1964
Mobile SRBM Systems,2022-04-13,4
MLRS,2022-04-13,116
Boats,2022-04-13,7
Vehicles,2022-04-13,1429
Fuel Tanks,2022-04-13,76
UAV,2022-04-13,132
Anti-Aircraft,2022-04-13,64
Special Equipment,2022-04-13,25
Troops,2022-04-14,19900
Planes,2022-04-14,160
Helicopters,2022-04-14,144
Tanks,2022-04-14,753
Artillery Pieces,2022-04-14,366
Armored Personal Carriers,2022-04-14,1968
Mobile SRBM Systems,2022-04-14,4
MLRS,2022-04-14,122
Boats,2022-04-14,7
Vehicles,2022-04-14,1437
Fuel Tanks,2022-04-14,76
UAV,2022-04-14,134
Anti-Aircraft,2022-04-14,64
Special Equipment,2022-04-14,25
Troops,2022-04-15,20000
Planes,2022-04-15,163
Helicopters,2022-04-15,144
Tanks,2022-04-15,756
Artillery Pieces,2022-04-15,366
Armored Personal Carriers,2022-04-15,1976
Mobile SRBM Systems,2022-04-15,4
MLRS,2022-04-15,122
Boats,2022-04-15,7
Vehicles,2022-04-15,1443
Fuel Tanks,2022-04-15,76
UAV,2022-04-15,135
Anti-Aircraft,2022-04-15,66
Special Equipment,2022-04-15,25
Troops,2022-04-16,20100
Planes,2022-04-16,163
Helicopters,2022-04-16,145
Tanks,2022-04-16,762
Artillery Pieces,2022-04-16,371
Armored Personal Carriers,2022-04-16,1982
Mobile SRBM Systems,2022-04-16,4
MLRS,2022-04-16,125
Boats,2022-04-16,8
Vehicles,2022-04-16,1458
Fuel Tanks,2022-04-16,76
UAV,2022-04-16,138
Anti-Aircraft,2022-04-16,66
Special Equipment,2022-04-16,26
Troops,2022-04-17,20300
Planes,2022-04-17,165
Helicopters,2022-04-17,146
Tanks,2022-04-17,773
Artillery Pieces,2022-04-17,376
Armored Personal Carriers,2022-04-17,2002
Mobile SRBM Systems,2022-04-17,4
MLRS,2022-04-17,127
Boats,2022-04-17,8
Vehicles,2022-04-17,1471
Fuel Tanks,2022-04-17,76
UAV,2022-04-17,148
Anti-Aircraft,2022-04-17,66
Special Equipment,2022-04-17,27
Troops,2022-04-18,20600
Planes,2022-04-18,167
Helicopters,2022-04-18,147
Tanks,2022-04-18,790
Artillery Pieces,2022-04-18,381
Armored Personal Carriers,2022-04-18,2041
Mobile SRBM Systems,2022-04-18,4
MLRS,2022-04-18,130
Boats,2022-04-18,8
Vehicles,2022-04-18,1487
Fuel Tanks,2022-04-18,76
UAV,2022-04-18,155
Anti-Aircraft,2022-04-18,67
Special Equipment,2022-04-18,27
Troops,2022-04-19,20800
Planes,2022-04-19,169
Helicopters,2022-04-19,150
Tanks,2022-04-19,802
Artillery Pieces,2022-04-19,386
Armored Personal Carriers,2022-04-19,2063
Mobile SRBM Systems,2022-04-19,4
MLRS,2022-04-19,132
Boats,2022-04-19,8
Vehicles,2022-04-19,1495
Fuel Tanks,2022-04-19,76
UAV,2022-04-19,158
Anti-Aircraft,2022-04-19,67
Special Equipment,2022-04-19,27
